formula           weight  composition                  Tm    Tb    rhoA      rhoB    zmu1A    zmu1B    zmu2A    zmu2B          zmu2C    zkA        zkB       cpA         cpB    cpC    cpD
BeF2             47.009   Pure_Salt                 821.2  1442    1.97  1.45e-05   0             0   -8.12     11500  639000         0.801  -2.12e-06   51.1      0.0346         0      0
CaCl2           110.984   Pure_Salt                1045    2230    2.53  0.000423   0             0   -0.545      597  546000         0.568  -0.000115  102.533    0              0      0
CaF2             78.0748  Pure_Salt                1692    2724    3.18  0.000391   0.1       47600    0            0       0         0.667  -6.04e-05   99.914    0              0      0
KCl              74.5513  Pure_Salt                1042.7  1688    2.14  0.000583   0.0708    23900    0            0       0         0.566  -0.00017    73.5966   0              0      0
KF               58.0967  Pure_Salt                1131.2  1771    2.65  0.000652   0.107     23800    0            0       0         0.855  -0.000254   71.965    0              0      0
LiCl             42.394   Pure_Salt                 883    1655    1.88  0.000433   0.0726    22400    0            0       0         0.882  -0.00029    73.3832  -0.0094726      0      0
LiF              25.9394  Pure_Salt                1121.2  1943    2.37  0.0005     0.115     27000    0            0       0         1.88   -0.000399   64.183    0              0      0
MgCl2            95.211   Pure_Salt                 987    1640    1.97  0.000288   0.18      20500    0            0       0         0.224  -2e-05      92.048    0              0      0
NaCl             58.4428  Pure_Salt                1073.8  1715    2.14  0.000543   0.0893    22000    0            0       0         0.712  -0.00018    77.7638  -0.0075312      0      0
NaF              41.9882  Pure_Salt                1268    1978    2.76  0.000636   0.12      26500    0            0       0         1.26   -0.00028    72.989    0              0      0
LiF-BeF2         33.1031  0.66-0.34                 733    1673    2.41  0.000488   0.116     31200    0            0       0         1.1     0          79.9      0              0      0
LiF-NaF-KF       41.2911  0.465-0.115-0.42          735    1843    2.68  0.000685   0             0    0.213    -1200       1.35e+06  1.24   -0.000538   40.3      0.0439         0      0
