formula           weight  composition                  Tm    Tb    rhoA      rhoB     zmu1A    zmu1B    zmu2A    zmu2B          zmu2C    zkA        zkB       cpA         cpB    cpC    cpD
BeF2             47.009   Pure_Salt                 821.2  1442    1.97  1.45e-05  0             0     -8.12     11500  639000         0.801  -2.12e-06   51.1      0.0346         0      0
CaCl2           110.984   Pure_Salt                1045    2230    2.53  0.000423  0             0     -0.545      597  546000         0.568  -0.000115  102.533    0              0      0
CaF2             78.0748  Pure_Salt                1692    2724    3.18  0.000391  0.1       47600      0            0       0         0.667  -6.04e-05   99.914    0              0      0
KCl              74.5513  Pure_Salt                1042.7  1688    2.14  0.000583  0.0708    23900      0            0       0         0.566  -0.00017    73.5966   0              0      0
KF               58.0967  Pure_Salt                1131.2  1771    2.65  0.000652  0.107     23800      0            0       0         0.855  -0.000254   71.965    0              0      0
LiCl             42.394   Pure_Salt                 883    1655    1.88  0.000433  0.0726    22400      0            0       0         0.882  -0.00029    73.3832  -0.0094726      0      0
LiF              25.9394  Pure_Salt                1121.2  1943    2.37  0.0005    0.115     27000      0            0       0         1.88   -0.000399   64.183    0              0      0
MgCl2            95.211   Pure_Salt                 987    1640    2.04  0.000325  0.18      20500      0            0       0         0.224  -2e-05      92.048    0              0      0
MgF2             62.3018  Pure_Salt                1534.2  2512    3.24  0.000524  0.187     32100      0            0       0         0.867  -0.000141    0        0              0      0
NaCl             58.4428  Pure_Salt                1073.8  1715    2.14  0.000543  0.0893    22000      0            0       0         0.712  -0.00018    77.7638  -0.0075312      0      0
NaF              41.9882  Pure_Salt                1268    1978    2.76  0.000636  0.12      26500      0            0       0         1.26   -0.00028    72.989    0              0      0
SrCl2           158.526   Pure_Salt                1146    2310    3.39  0.000578  0             0     -0.439      398  879000         0.516  -0.000118    0        0              0      0
SrF2            125.617   Pure_Salt                1746    2762    4.78  0.000751  0.0703    54500      0            0       0         0.517  -7.25e-05    0        0              0      0
KCl-MgCl2        81.1624  0.68-0.32                 697.6  1691    2.06  0.000552  0             0      0            0       0         0.505  -0.0001     76.7      0.00849        0      0
LiF-BeF2         33.1031  0.66-0.34                 733    1673    2.41  0.000488  0.116     31200      0            0       0         1.1     0          79.9      0              0      0
LiF-RbF          70.6997  0.43-0.57                 748       0    3.3   0.00069   0.0212    38900      0            0       0         2.08    0         117       -0.0479         0      0
NaF-ZrF4        104.603   0.50-0.50                 783.2     0    4.06  0.000896  0.02993   32435.3    0            0       0         4.2     0           0        0              0      0
LiF-NaF-BeF2     38.921   0.31-0.31-0.38            588       0    2.38  0.000475  3.38e-05   4740      0            0       0         0.7     0          85.6      0              0      0
LiF-NaF-KF       41.2911  0.465-0.115-0.42          735    1843    2.49  0.000685  0             0      0.213    -1200       1.35e+06  1.24   -0.000538   40.3      0.0439         0      0
NaF-KF-UF4      120.986   0.465-0.26-0.275          803       0    4.7   0.00115   0.0767    39300      0            0       0         0.862   0         116        0              0      0
NaF-ZrF4-UF4    110.475   0.50-0.46-0.04            793       0    3.93  0.00093   0.0981    32400      0            0       0         2.25    0         147       -0.0396         0      0
NaF-ZrF4-UF4    109.762   0.535-0.40-0.065          813       0    4.04  0.0011    0.194     27500      0            0       0         2.08    0         108        0              0      0
RbF-ZrF4-UF4    142.969   0.48-0.48-0.04            698       0    4     0.00093   0.116     29900      0            0       0         1.73    0         170       -0.0646         0      0
NaF-LiF-KF-UF4   44.8461  0.109-0.445-0.435-0.011   725       0    2.65  0.0009    0.0348    35500      0            0       0         3.98    0          82        0              0      0
